Koordinatensystem : Lambert konform konisch
Rechtswert        : 4218500 Meter
Hochwert          : 2850500 Meter
Hoehenlage        : 45 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4218500 2850500  1  6 20   2.9 1012 191  3.4 4  4.1  88    0    0 266 -317  1
4218500 2850500  1  6 21   2.6 1012 200  3.9 3  4.2  90    0    0 257 -317  1
4218500 2850500  1  6 22   2.5 1012 217  4.3 5  4.1  90    0    0 263 -317  1
4218500 2850500  1  6 23   3.0 1012 217  4.2 6  4.1  89    0    0 281 -319  1
4218500 2850500  1  6 24   3.5 1012 212  3.6 8  4.2  88    0    0 299 -322  1
4218500 2850500  1  7  1   4.0 1012 217  3.5 8  4.3  87    0    0 315 -326  1
4218500 2850500  1  7  2   3.7 1012 221  3.3 8  4.4  88    0    0 318 -328  1
4218500 2850500  1  7  3   3.9 1013 222  2.9 8  4.6  91    0    0 320 -330  1
4218500 2850500  1  7  4   4.0 1014 215  3.4 8  4.7  94    0    0 322 -331  1
4218500 2850500  1  7  5   3.9 1014 226  3.5 8  4.8  96    0    0 321 -333  1
4218500 2850500  1  7  6   4.4 1014 225  3.2 7  4.9  96    0    0 314 -334  1
4218500 2850500  1  7  7   4.7 1014 226  2.7 7  5.0  94    0    0 308 -334  1
4218500 2850500  1  7  8   4.7 1015 222  2.6 8  5.0  94    0    0 313 -333  1
4218500 2850500  1  7  9   4.6 1016 233  2.7 8  4.9  94    0    5 317 -333  1
4218500 2850500  1  7 10   4.8 1016 223  2.2 8  4.9  93    0   23 317 -333  1
4218500 2850500  1  7 11   5.2 1017 229  2.5 7  5.0  93    3   67 311 -334  1
4218500 2850500  1  7 12   5.7 1017 222  3.0 8  5.1  92    0   55 312 -335  1
4218500 2850500  1  7 13   7.0 1017 228  3.0 5  5.4  90   32  129 302 -336  1
4218500 2850500  1  7 14   7.0 1017 218  3.1 5  5.4  87   22  112 285 -337  1
4218500 2850500  1  7 15   6.9 1017 216  2.4 4  5.4  86   16   80 278 -336  1
4218500 2850500  1  7 16   6.7 1016 201  2.3 6  5.4  87    0   24 283 -332  1
4218500 2850500  1  7 17   6.4 1017 177  2.5 6  5.3  89    0    0 293 -328  1
4218500 2850500  1  7 18   5.6 1017 191  3.4 5  5.2  90    0    0 285 -325  1
4218500 2850500  1  7 19   5.3 1017 197  3.7 4  5.1  92    0    0 272 -323  1
4218500 2850500  1  7 20   4.6 1016 207  3.7 4  5.0  92    0    0 263 -321  1
4218500 2850500  1  7 21   3.9 1016 212  3.6 3  4.8  94    0    0 255 -319  1
4218500 2850500  1  7 22   3.8 1016 224  3.8 2  4.6  93    0    0 243 -317  1
4218500 2850500  1  7 23   3.6 1016 212  3.6 2  4.6  92    0    0 238 -316  1
4218500 2850500  1  7 24   3.1 1016 191  3.2 3  4.5  92    0    0 240 -315  1
4218500 2850500  1  8  1   2.6 1016 208  3.5 1  4.3  93    0    0 233 -315  1
4218500 2850500  1  8  2   2.2 1015 201  3.1 1  4.2  93    0    0 221 -315  1
4218500 2850500  1  8  3   2.0 1015 197  2.9 1  4.1  92    0    0 221 -315  1
4218500 2850500  1  8  4   1.9 1015 201  3.8 0  4.0  92    0    0 215 -315  1
4218500 2850500  1  8  5   1.7 1014 204  3.3 0  4.0  92    0    0 208 -314  1
4218500 2850500  1  8  6   1.4 1014 198  3.5 1  3.9  92    0    0 211 -314  1
4218500 2850500  1  8  7   1.2 1013 198  3.6 2  3.9  93    0    0 221 -313  1
4218500 2850500  1  8  8   1.3 1013 207  4.1 5  3.9  93    0    0 246 -313  1
4218500 2850500  1  8  9   1.4 1014 200  3.5 5  3.9  94    5    9 267 -312  1
4218500 2850500  1  8 10   1.8 1014 219  3.9 3  3.9  93   47   45 256 -313  1
4218500 2850500  1  8 11   2.9 1014 214  4.5 1  4.0  90  111   72 235 -314  1
4218500 2850500  1  8 12   4.0 1014 216  5.0 2  4.2  86  145   90 235 -315  1
4218500 2850500  1  8 13   5.3 1014 213  5.7 2  4.2  80  152   94 247 -319  1
4218500 2850500  1  8 14   5.4 1013 216  5.8 3  4.2  76   61  105 258 -323  1
4218500 2850500  1  8 15   5.9 1013 220  4.3 6  4.3  75    8   66 284 -326  1
4218500 2850500  1  8 16   6.0 1013 213  4.0 7  4.3  75    0   12 309 -326  1
4218500 2850500  1  8 17   5.9 1013 217  3.4 7  4.3  75    0    0 316 -325  1
4218500 2850500  1  8 18   5.7 1013 220  3.5 8  4.3  76    0    0 322 -323  1
4218500 2850500  1  8 19   5.7 1014 218  3.8 8  4.4  78    0    0 329 -323  1
4218500 2850500  1  8 20   5.7 1014 223  3.4 8  4.6  80    0    0 329 -325  1
4218500 2850500  1  8 21   5.6 1014 221  3.2 8  4.7  83    0    0 329 -325  1
4218500 2850500  1  8 22   5.5 1014 212  3.1 8  4.7  83    0    0 329 -326  1
4218500 2850500  1  8 23   5.6 1014 213  3.0 8  4.7  83    0    0 328 -327  1
4218500 2850500  1  8 24   5.4 1014 218  3.0 8  4.7  84    0    0 327 -327  1
4218500 2850500  1  9  1   5.3 1014 238  2.8 8  4.7  85    0    0 326 -328  1
4218500 2850500  1  9  2   5.3 1014 224  2.8 8  4.8  87    0    0 326 -328  1
4218500 2850500  1  9  3   4.9 1014 227  2.0 8  4.9  90    0    0 323 -328  1
4218500 2850500  1  9  4   4.8 1014 223  1.9 8  4.9  92    0    0 322 -328  1
4218500 2850500  1  9  5   4.8 1015 224  1.5 8  5.0  94    0    0 322 -329  1
4218500 2850500  1  9  6   4.7 1015 222  2.1 8  5.2  97    0    0 321 -329  1
4218500 2850500  1  9  7   4.8 1015 215  1.9 7  5.3  99    0    0 315 -329  1
4218500 2850500  1  9  8   4.9 1015 238  1.9 8  5.3  98    0    0 315 -329  1
4218500 2850500  1  9  9   5.0 1015 256  1.9 8  5.3  98    0    5 320 -329  1
4218500 2850500  1  9 10   5.3 1016 286  2.1 7  5.3  97    2   31 314 -330  1
4218500 2850500  1  9 11   5.3 1016 272  2.6 6  5.3  96    2   57 301 -331  1
4218500 2850500  1  9 12   5.6 1017 284  2.5 6  5.3  95    2   72 293 -332  1
4218500 2850500  1  9 13   5.7 1017 282  2.8 7  5.2  92    2   78 299 -333  1
4218500 2850500  1  9 14   5.5 1017 292  3.0 7  5.1  90    0   50 303 -333  1
4218500 2850500  1  9 15   5.4 1017 294  2.7 7  4.9  88    0   43 302 -335  1
4218500 2850500  1  9 16   5.0 1018 280  2.7 7  4.9  89    0   20 302 -335  1
4218500 2850500  1  9 17   4.6 1018 286  2.9 7  4.8  90    0    0 300 -334  1
4218500 2850500  1  9 18   4.5 1019 314  3.3 7  4.7  90    0    0 297 -332  1
4218500 2850500  1  9 19   4.1 1019 329  3.6 7  4.5  87    0    0 295 -331  1
4218500 2850500  1  9 20   3.6 1020 323  2.7 7  4.3  86    0    0 292 -329  1
4218500 2850500  1  9 21   3.7 1021 319  2.2 7  4.2  85    0    0 292 -329  1
4218500 2850500  1  9 22   4.0 1021 316  2.1 8  4.1  83    0    0 299 -327  1
4218500 2850500  1  9 23   3.7 1022 327  2.9 7  4.0  80    0    0 299 -326  1
4218500 2850500  1  9 24   3.6 1023 319  2.7 8  4.0  81    0    0 299 -324  1
4218500 2850500  1 10  1   3.6 1023 314  3.5 7  4.0  82    0    0 299 -322  1
4218500 2850500  1 10  2   3.4 1024 308  2.8 7  4.0  82    0    0 292 -321  1
4218500 2850500  1 10  3   3.1 1024 283  2.5 5  4.0  85    0    0 282 -319  1
4218500 2850500  1 10  4   2.1 1025 299  2.8 5  4.0  88    0    0 270 -318  1
4218500 2850500  1 10  5   1.2 1025 288  2.5 5  3.9  92    0    0 267 -316  1
